Type,Title,Summary,Author,Publication Date
Research Highlight,How neurons make a memory,Loosely packaged DNA might make these nerve cells better able to encode memories.,"N, /, A",02-Aug-24
Futures,The future of Mars Colony Two,Mission improbable.,Jeff Hecht,02-Aug-24
News,US postdoc support from NIH could be capped at five years — sparking criticism,"A working group’s recommendation, meant to help to advance the careers of postdoctoral researchers, could discourage people from staying in academia, some researchers say.",Max Kozlov,02-Aug-24
News,The world’s most expensive dinosaur and more — July’s best science images,"The month’s sharpest science shots, selected byNature’s photo team.","Emma Stoye, Helena Kudiabor",02-Aug-24
News,The pathogens that could spark the next pandemic,The World Health Organization has updated its list of most dangerous viruses and bacteria.,Smriti Mallapaty,02-Aug-24
Obituary,Maxine Singer obituary: biologist who shaped genetic engineering and fought discrimination,Biochemist who helped to draw up guidelines for recombinant-DNA technology and championed women in science.,Georgina Ferry,02-Aug-24
Research Briefing,Chromosome components central to cell division evolve rapidly,"Regions of chromosomal DNA called centromeres are crucial to dividing cells. Centromere sequences from a human genome have been fully characterized and compared with those from other humans and non-human primates, revealing dynamic and rapid patterns of mutational change that will improve understanding of centromere evolution and function.","N, /, A",02-Aug-24
News Q&A,How a space physicist is shaking up China’s research funding,"As president of the country’s natural science foundation, Dou Xiankang has prioritized support for young scientists and plans to boost investment in basic science.",Gemma Conroy,02-Aug-24
Author Correction,Author Correction: Human SARS-CoV-2 challenge uncovers local and systemic response dynamics,N/A,"Rik G. H. Lindeboom, Kaylee B. Worlock, Sarah A. Teichmann",01-Aug-24
News,"Is that a durian? No, it’s a weird ancient mollusc",A 510-million-year-old creature that looked like the famously smelly fruit suggests that the earliest molluscs were covered in hollow spines.,Ewen Callaway,01-Aug-24
News,These AI firms publish the world’s most highly cited work,US and Chinese firms dominate the list of companies that are producing the most research and patents in artificial intelligence.,Elizabeth Gibney,01-Aug-24
Career Q&A,I’m a Palestinian scientist building a more inclusive future,Molecular biologist Rana Dajani works to support the careers and education of women and minority groups in the Arab world and beyond.,Christina Szalinski,01-Aug-24
News,‘Publish or Perish’ is now a card game — not just an academic’s life,"A player wins by racking up more citations than the competition, even if that means engaging in a little light plagiarism.",Max Kozlov,01-Aug-24
Nature Video,Fish can tell the direction of sounds — here’s how,New research finally unravels the mystery of how fish can hear directionally.,Emily Bates,31-Jul-24
Article,The catalytic asymmetric polyene cyclization of homofarnesol to ambrox,The catalytic asymmetric polyene cyclization of homofarnesol to ambrox is achieved using a highly Brønsted-acidic and confined imidodiphosphorimidate catalyst.,"Na Luo, Mathias Turberg, Benjamin List",31-Jul-24
Article,Transport and inhibition mechanisms of the human noradrenaline transporter,"Cryo-electron microscopy structures of the noradrenaline transporter (NET) reveal binding modes of adrenaline, coordination of sodium and chloride ion binding and the binding sites and mechanisms of inhibition by conotoxin, bupropion and ziprasidone.","Tuo Hu, Zhuoya Yu, Yan Zhao",31-Jul-24
Article,Dopamine biases decisions by limiting temporal integration,"InDrosophila, dopamine sets motivational state during mating by regulating the integration of competing drives in copulation decision neurons, potentially indicative of a more general role for control over neuronal integration time in the regulation of behavioural decisions.","Aditya K. Gautham, Lauren E. Miner, Michael A. Crickmore",31-Jul-24
Article,Histone serotonylation regulates ependymoma tumorigenesis,Serotonin has a role in ependymoma tumorigenesis through modifying histones and thereby regulating key transcription factors and activating specific oncogenic transcriptional networks in brain cells.,"Hsiao-Chi Chen, Peihao He, Benjamin Deneen",31-Jul-24
Article,Molecular mechanism of ligand gating and opening of NMDA receptor,Cryo-electron microscopy structures of NMDA receptors in open and apo states reveal the molecular mechanism underlying the dual ligand requirement for its channel gating and opening.,"Tsung-Han Chou, Max Epstein, Hiro Furukawa",31-Jul-24
Article,FANCD2–FANCI surveys DNA and recognizes double- to single-stranded junctions,"FANCD2–FANCI is a sliding clamp that diffuses on double-stranded DNA but stalls when it reaches a single-stranded gap, providing a unified molecular mechanism that reconciles the roles of FANCD2–FANCI in the recognition and protection of stalled replication forks.","Pablo Alcón, Artur P. Kaczmarczyk, Lori A. Passmore",31-Jul-24
Article,Organ systems of a Cambrian euarthropod larva,"Youti yuanshiis a euarthropod species newly described from a fossilized larva from Yunnan Province, China dating approximately to late Atdabanian stage, Cambrian period, and provides insights into the evolution of arthropods.","Martin R. Smith, Emma J. Long, Xiguang Zhang",31-Jul-24
Article,Gut microbiota carcinogen metabolism causes distal tissue tumours,A study links environmental nitrosamines to bladder cancer through their metabolism by specific commensal microorganisms occurring in the gastrointestinal tract of humans and mice.,"Blanka Roje, Boyao Zhang, Michael Zimmermann",31-Jul-24
Article,The development of terrestrial ecosystems emerging after glacier retreat,"Across 46 proglacial landscapes worldwide, environmental properties and biodiversity have shown complex patterns of change since glaciers retreated.","Gentile Francesco Ficetola, Silvio Marta, Alexis Carteron",31-Jul-24
Article,High-performance 4-nm-resolution X-ray tomography using burst ptychography,"X-ray computed tomography is combined with burst ptychography and filtered back-propagation to achieve high-speed, three-dimensional imaging of features as small as 4 nm.","Tomas Aidukas, Nicholas W. Phillips, Mirko Holler",31-Jul-24
Review Article,Sophisticated natural products as antibiotics,"This Review examines the diverse strategies utilized by naturally occurring antibiotics and suggests how they have provided, and will in future provide, inspiration for the design of novel antibiotics.","Kim Lewis, Richard E. Lee, Ingo Wohlgemuth",31-Jul-24
Article,Turbinate-homing IgA-secreting cells originate in the nasal lymphoid tissues,"Nasal vaccination induces B cell expansion in the nasal-associated lymphoid tissues, followed by homing to the nasal turbinates and glandular acinar structures.","Jingjing Liu, Liat Stoler-Barak, Ziv Shulman",31-Jul-24
Article,"Deep crustal assimilation during the 2021 Fagradalsfjall Fires, Iceland","Using osmium isotopes, the 2021 Fagradalsfjall lavas in Iceland are shown to be both fractionally crystallized and strongly crustally contaminated, probably by mid-ocean-ridge gabbros and older basalts underlying the Reykjanes Peninsula.","James M. D. Day, Savannah Kelly, Thor Thordarson",31-Jul-24
Article,Propofol rescues voltage-dependent gating of HCN1 channel epilepsy mutants,"Propofol repairs malfunctioning mutant HCN1 channels associated with epilepsy, and its unusual mechanism of action on these ion channels can potentially be exploited to design precision drugs targeting HCN channelopathies.","Elizabeth D. Kim, Xiaoan Wu, Crina M. Nimigean",31-Jul-24
Article,Immunological memory diversity in the human upper airway,This study of immunological memory diversity in the human upper airway provides new understanding of immune memory at a major mucosal barrier tissue in humans.,"Sydney I. Ramirez, Farhoud Faraji, Shane Crotty",31-Jul-24
Article,Passive wing deployment and retraction in beetles and flapping microrobots,"We find that rhinoceros beetles passively deploy and retract their hindwings without muscular activity, demonstrating this with insect-like microrobots.","Hoang-Vu Phan, Hoon Cheol Park, Dario Floreano",31-Jul-24
Article,Structural switch in acetylcholine receptors in developing muscle,"Structures of fetal and adult muscle acetylcholine receptors reveal a developmental switch that alters channel biophysics and pharmacology to enable neuromuscular junction maturation, uncovering pathogenic mechanisms underlying congenital myasthenic syndromes.","Huanhuan Li, Jinfeng Teng, Ryan E. Hibbs",31-Jul-24
Article,Partial coherence enhances parallelized photonic computing,"Two photonic platforms using a convolutional processing system with partially coherent light sources is shown to boost computing parallelism, demonstrated using the classification of gaits of patients with Parkinson’s disease and the MNIST handwritten digits dataset.","Bowei Dong, Frank Brückerhoff-Plückelmann, Harish Bhaskaran",31-Jul-24
News Q&A,The mathematician who helps Olympic swimmers go faster,Some US athletes could owe part of their stellar performances to Ken Ono’s scientific approach.,Davide Castelvecchi,31-Jul-24
News & Views,Cheap light sources could make AI more energy efficient,"Light-based devices can reduce the energy consumption of computers, but most rely on lasers, which are expensive to integrate with other technologies. An approach that uses LEDs instead of lasers provides a path forwards.","Kathy Lüdge, Lina Jaurigue",31-Jul-24
Research Briefing,A joint bacterial effort to produce vitamin B12,Vitamin B12consists of two molecular components and has been thought to be synthesized only in full by certain bacteria. It emerges that two bacterial strains that each exclusively produce one building block can complement each other to enable joint synthesis of the vitamin.,"N, /, A",31-Jul-24
Futures,Last men standing,Double trouble.,Al Williams,31-Jul-24
Nature Podcast,How light-based computers could cut AI’s energy needs,"Replacing lasers with LEDs in computer components lowers power consumption — plus, the spread of H5N1 influenza in US cow herds.","Benjamin Thompson, Elizabeth Gibney",31-Jul-24
News,Your nose has its own army of immune cells — here’s how it protects you,Detailed profile of the immune cells in the upper airway could help to improve nasal vaccines.,Max Kozlov,31-Jul-24
News Feature,How pregnancy transforms the brain to prepare it for parenthood,It’s a transformational time long neglected by neuroscience. That is starting to change.,Liam Drew,31-Jul-24
Research Briefing,Stronger Gulf Stream during the last ice age,"Palaeoceanographic proxy data and climate-model simulations reveal that during the last ice age — about 20,000 years ago — the Gulf Stream was much stronger than it is now because of more-powerful winds across the subtropical North Atlantic Ocean.","N, /, A",31-Jul-24
News,First map of an ice shelf’s bottom reveals mysterious melt patterns,High-resolution images of the underside of a formation in Antarctica could help researchers to refine projections of sea-level rise.,Alix  Soliman,31-Jul-24
News & Views,Microchip minutiae imaged using rapid X-ray bursts,"As components on a computer chip shrink, their structure becomes ever-more complicated to image. A method that uses bursts of X-rays offers high-resolution, rapid-fire visualization down to single-transistor level.","Tais Gorkhover, Daniela Rupp",31-Jul-24
News,‘Ocean ranching’ has led to a pink-salmon boom — but there might be a catch,Unintended interbreeding between hatchery-bred and wild-born pink salmon could reduce resiliency of fish stocks.,Alix  Soliman,31-Jul-24
Correspondence,Polar bear threat for Arctic researchers,N/A,Astrid Strunk,30-Jul-24
Research Highlight,Charged-up butterflies draw pollen through the air,Moths also accumulate static charge during flight that allows them to harvest pollen from flowers several millimetres away.,"N, /, A",30-Jul-24
News & Views,Rhapsodies in green: the poetry of plant biology,"Poems that bring plant biology to life, and remembering the achievements of the physicist Patrick Blackett, in our weekly dip intoNature’s archive.","N, /, A",30-Jul-24
Correspondence,Wasted renewables deny households cheap energy,N/A,Spyros Foteinis,30-Jul-24
Correspondence,Supreme Court ruling alters risk landscape,N/A,"Benjamin D. Trump, Igor Linkov",30-Jul-24
World View,Guidelines on lab-grown embryo models are strong enough to meet ethical standards — and will build trust in science,The UK code of practice for researchers working with stem-cell-based embryo models is designed to both reassure the public and provide valuable guidance to researchers.,Roger Sturmey,30-Jul-24
News Feature,AI is complicating plagiarism. How should scientists respond?,The explosive uptake of generative artificial intelligence in writing is raising difficult questions about when use of the technology should be allowed.,Diana Kwon,30-Jul-24
Career Feature,"How to spot a predatory conference, and what science needs to do about them: a guide",Researchers who have fallen prey to predatory conferences share the tell-tale signs of a dud event.,Christine Ro,30-Jul-24
Editorial,Predatory conferences are on the rise. Here are five ways to tackle them,Early-career researchers are being targeted by organizers of exploitative meetings. There needs to be more awareness and perhaps legal redress over this dangerous development.,"N, /, A",30-Jul-24
Article,Spectroscopic confirmation of two luminous galaxies at a redshift of 14,N/A,"Stefano Carniani, Kevin Hainline, Christopher N. A. Willmer",29-Jul-24
Where I Work,Are our rock-climbing shoes shedding plastics?,Environmental scientist Anya Sherman studies how microplastics can be taken up by crops and people.,Virginia Gewin,29-Jul-24
Research Briefing,Lipids act as structural components of the pore of an ion-channel family,"Structural, functional and computational evidence demonstrates that when certain ion channels are activated by mechanical force, they assume an open configuration in which the pore is formed by both protein and lipids.","N, /, A",29-Jul-24
News & Views,Blocking an inflammatory protein slows the pace of ageing,Mice live longer and healthier lives when a cytokine protein called IL-11 is inhibited. The findings show how researchers can move beyond broad generalizations to engage with the nuances that modulate the pace of ageing.,Richard A. Miller,29-Jul-24
Comment,How to improve assessments of publication integrity,"Too often, journal assessments of potentially unreliable research are superficial, opaque and prolonged. Changes to the guidance given by the Committee on Publication Ethics could tighten up the process.","Andrew Grey, Alison Avenell, Mark J. Bolland",29-Jul-24
News Feature,Sexual harassment in science: biologists in India speak out,Natureinterviewed 12 female wildlife researchers who say they were harassed while working at conservation organizations in India. Why does the country’s sexual-harassment law sometimes fail to safeguard women?,Gayathri Vaidyanathan,29-Jul-24
Research Briefing,Mental maps help monkeys to navigate without sensory input,Cognitive maps are internal representations of the external environment. Evidence from monkeys shows that a cognitive map can support the mental navigation of an array of landmarks without sensory input.,"N, /, A",29-Jul-24
Publisher Correction,Publisher Correction: Interferon subverts an AHR–JUN axis to promote CXCL13+T cells in lupus,N/A,"Calvin Law, Vanessa Sue Wacleche, Deepak A. Rao",26-Jul-24
Research Highlight,Elusive high-energy neutrinos spotted at LHC,Observations of electron neutrinos could allow physicists to test theories about the particles’ behaviour.,"N, /, A",26-Jul-24
Research Highlight,Strokes can damage the heart — but reining in the immune system might help,Heart injury is reduced in mice when the cells that trigger inflammation are blocked.,"N, /, A",26-Jul-24
Research Highlight,Genetic links found to the world's biggest killer of new mothers,Genes associated with postpartum haemorrhage spotlight a hormone’s role in dangerous bleeding after childbirth.,"N, /, A",26-Jul-24
Nature Podcast,"Audio long read: Hope, despair and CRISPR — the race to save one woman’s life",The tragic quest to develop a gene-editing therapy for a rare neurodegenerative disease showcases the messy state of modern drug development.,"Heidi Ledford, Benjamin Thompson",26-Jul-24
Research Highlight,How the rose got its iconic fragrance,A bouquet of genes involved in making volatile compounds helps to produce the flower’s characteristic scent.,"N, /, A",26-Jul-24
News,"Effort to ‘Trump-proof’ US science grows, but will it succeed?",Unions are joining the Biden administration’s campaign to promote scientific integrity and protect government scientists from political interference.,Jeff Tollefson,26-Jul-24
News,Seventh patient ‘cured’ of HIV: why scientists are excited,A man in Germany is HIV-free after receiving stem cells that are not resistant to the virus.,Smriti Mallapaty,26-Jul-24
News,Retraction notices are getting clearer — but progress is slow,"Communications relating to retractions are often still opaque and lacking in detail, but an analysis finds some evidence of improvement.",Miryam Naddaf,26-Jul-24
Nature Briefing,Daily briefing: Could these ‘leopard spots’ hint at ancient life on Mars?,Tiny spots discovered in a rock on Mars could be signs of microbes that once lived on the red planet. Plus: The brain cells that encode the mother–baby bond in mice and how AI is changing the Olympics.,Katrina Krämer,26-Jul-24
Nature Careers Podcast,Meet the retired scientists who collaborate with younger colleagues,Julie Gould learns that age is no barrier to enjoying interesting work and life opportunities in retirement.,Julie Gould,26-Jul-24
Career Column,We are junior scientists from emerging economies — the world needs more researchers like us solving global problems,"Scientific advancement relies on equitable international collaboration. And right now, it’s not equitable enough.","Mohammed Shaaban, Abib Duut, Nana Mensah",26-Jul-24
Article,Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle,N/A,"Leonardo C. Caserta, Elisha A. Frye, Diego G. Diel",25-Jul-24
News Explainer,Three ways AI is changing the 2024 Olympics for athletes and fans,"From training to broadcasting, artificial intelligence will have an imprint on this year’s event for the first time.",Sumeet Kulkarni,25-Jul-24
Nature Briefing,Daily briefing: AI fed on a diet of AI-generated data spews nonsense,"Training successive versions of AI models on text generated by the previous iteration quickly leads to the system producing gibberish. Plus, memory for music doesn’t fade with age and how placebos ease pain in the mouse brain.",Katrina Krämer,25-Jul-24
Obituary,V. Craig Jordan obituary: pharmacologist who revolutionized breast cancer treatments,Pioneer of targeted therapy in cancer who turned failed contraceptive tamoxifen into an essential drug for treating breast cancer and osteoporosis.,Balkees   Abderrahman,25-Jul-24
News,DeepMind hits milestone in solving maths problems — AI’s next grand challenge,AlphaProof showed its prowess on questions from this year’s Mathematical Olympiad — a step in the race to create substantial proofs with artificial intelligence.,Davide Castelvecchi,25-Jul-24
News,These brain cells help days-old mice to bond with mum,Scientists pinpoint neurons that encode the mother–baby bond in the brains of infant mice.,Miryam Naddaf,25-Jul-24
Outlook,AI is vulnerable to attack. Can it ever be used safely?,The models that underpin artificial-intelligence systems such as ChatGPT can be subject to attacks that elicit harmful behaviour. Making them safe will not be easy.,Simon Makin,25-Jul-24
News,India budget: Modi bets big on nuclear energy and space,"The government has focused on areas of national pride and applied science, as many researchers expected.",T.V. Padma,25-Jul-24
Article,Methyl-reducing methanogenesis by a thermophilic culture of Korarchaeia,N/A,"Viola Krukenberg, Anthony J. Kohtz, Roland Hatzenpichler",24-Jul-24
Article,A temperate super-Jupiter imaged with JWST in the mid-infrared,N/A,"E. C. Matthews, A. L. Carter, F. Philipot",24-Jul-24
Publisher Correction,Publisher Correction: Tautomeric mixture coordination enables efficient lead-free perovskite LEDs,N/A,"Dongyuan Han, Jie Wang, Ning Wang",24-Jul-24
Article,Neural circuit basis of placebo pain relief,N/A,"Chong Chen, Jesse K. Niehaus, Grégory Scherrer",24-Jul-24
News,Don’t fade away: memory for music persists with age,Eighty-year-olds are able to identify familiar tunes just as well as teenagers can.,Bianca Nogrady,24-Jul-24
Article,AI models collapse when trained on recursively generated data,"Analysis shows that indiscriminately training generative artificial intelligence on real and generated content, usually done by scraping data from the Internet, can lead to a collapse in the ability of the models to generate diverse high-quality output.","Ilia Shumailov, Zakhar Shumaylov, Yarin Gal",24-Jul-24
Article,Blood culture-free ultra-rapid antimicrobial susceptibility testing,"An ultra-rapid antimicrobial susceptibility testing method is introduced that bypasses the need for traditional blood culture, demonstrating the potential to significantly reduce the turnaround time of reporting drug susceptibility profiles.","Tae Hyun Kim, Junwon Kang, Sunghoon Kwon",24-Jul-24
Article,Cryo-EM architecture of a near-native stretch-sensitive membrane microdomain,"Cryo-electron microscopy, in vitro reconstitution and molecular dynamics simulations provide insight into the architecture of a plasma membrane microdomain in yeast, the organization and dynamics of the membrane lipids within this microdomain and how it responds to mechanical stress.","Jennifer M. Kefauver, Markku Hakala, Robbie Loewith",24-Jul-24
Article,A human autoimmune organoid model reveals IL-7 function in coeliac disease,A human in vitro model of coeliac disease comprising duodenal organoids that maintain both epithelium and an immune microenvironment finds a previously unsuspected role for IL-7 in gluten-induced epithelial destruction.,"António J. M. Santos, Vincent van Unen, Calvin J. Kuo",24-Jul-24
Article,Isolation of a methyl-reducing methanogen outside the Euryarchaeota,"Methanosuratincola petrocarbonisLWZ-6 is a strict hydrogen-dependent methylotrophic methanogen that does not ferment sugars, peptides or amino acids.","Kejia Wu, Lei Zhou, Lei Cheng",24-Jul-24
Article,Cultivation and visualization of a methanogen of the phylum Thermoproteota,We demonstrate that the ability to conserve energy coupled to methane production is not restricted to the Euryarchaeota and is much more widespread than originally thought.,"Anthony J. Kohtz, Nikolai Petrosian, Roland Hatzenpichler",24-Jul-24
Article,"Deep, hot, ancient melting recorded by ultralow oxygen fugacity in peridotites","Analysis of peridotites reveals ultralow oxygen fugacity, suggesting that rafts of ancient, ultrareduced mantle were generated by deep melting at high temperatures and continue to circulate in the modern mantle, although they contribute little to modern ridge volcanism.","Suzanne K. Birner, Elizabeth Cottrell, Jessica M. Warren",24-Jul-24
Article,Global net climate effects of anthropogenic reactive nitrogen,"A comprehensive model framework is used to estimate the global net direct radiative forcing of anthropogenic reactive nitrogen as being about −0.34 W m−2, which has a cooling effect on the climate.","Cheng Gong, Hanqin Tian, Sönke Zaehle",24-Jul-24
Article,Jurassic fossil juvenile reveals prolonged life history in early mammals,"Juvenile and adult skeletons of Middle JurassicKrusatodonfrom the Isle of Skye, Scotland, show that this mouse-sized mammaliaform had longer development and lifespan than modern mammals of similar mass.","Elsa Panciroli, Roger B. J. Benson, Stig Walsh",24-Jul-24
Article,Molecular basis of human noradrenaline transporter reuptake and inhibition,The cryo-electron microscopy structures of the human noradrenaline transporter in both the apo state and bound to substrates or antidepressant drugs are resolved.,"Jiaxin Tan, Yuan Xiao, Chuangye Yan",24-Jul-24
Article,Shifts in receptors during submergence of an encephalitic arbovirus,Knockout studies using CRISPR–Cas9 identify PCDH10 as a selective host cellular receptor for western equine encephalitis virus.,"Wanyu Li, Jessica A. Plante, Jonathan Abraham",24-Jul-24
Article,Human TMEFF1 is a restriction factor for herpes simplex virus in the brain,"A study of two childhood cases of herpes simplex encephalitis shows that TMEFF1 interacts with the HSV-1 cell-surface receptor NECTIN-1, preventing HSV-1 from fusing with the cell membrane and entering cortical neurons.","Yi-Hao Chan, Zhiyong Liu, Shen-Ying Zhang",24-Jul-24
Article,Single-cell multiregion dissection of Alzheimer’s disease,"A regional atlas of the ageing human brain—spanning six distinct anatomical regions from individuals with and without Alzheimer’s dementia—provides insights into cellular vulnerability, response and resilience to Alzheimer’s disease pathology","Hansruedi Mathys, Carles A. Boix, Manolis Kellis",24-Jul-24
Article,Multi-heterojunctioned plastics with high thermoelectric figure of merit,"Thermoelectric plastics with a high figure of merit, suppressed thermal conductivity and an enhanced power factor are realized by combining layered and bulk heterojunctions to create a polymeric multi-heterojunction.","Dongyang Wang, Jiamin Ding, Daoben Zhu",24-Jul-24
Article,Neoantigen-specific cytotoxic Tr1 CD4 T cells suppress cancer immunotherapy,Type 1 regulatory T cells (Tr1) represent a major obstacle that compromises naturally occurring and therapeutically induced tumour-specific immunity.,"Hussein Sultan, Yoshiko Takeuchi, Robert D. Schreiber",24-Jul-24
Article,Global atmospheric methane uptake by upland tree woody surfaces,"Studies of in situ woody surface methane exchange in upland tropical, temperate and boreal forest trees find that methane uptake can result in a net tree methane sink that is globally significant and demonstrates an additional climate benefit provided by trees.","Vincent Gauci, Sunitha Rao Pangala, Yadvinder Malhi",24-Jul-24
Article,peri-Fused polyaromatic molecular contacts for perovskite solar cells,Aperi-fused polyaromatic core structure is used to produce a relatively chemically inert and structurally rigid molecular contact that improves the efficiency and durability of perovskite solar cells.,"Ke Zhao, Qingqing Liu, Jingjing Xue",24-Jul-24
Article,TMEFF1 is a neuron-specific restriction factor for herpes simplex virus,A study identifies TMEFF1 as a neuron-specific restriction factor essential for prevention of replication of herpes simplex virus type 1 in the central nervous system.,"Yao Dai, Manja Idorn, Søren R. Paludan",24-Jul-24
Article,SMYD5 methylation of rpL40 links ribosomal output to gastric cancer,"The lysine methyltransferase SMYD5 and its newly identified substrate ribosomal protein L40 are implicated in the progression of gastric adenocarcinoma, and ablation ofSMYD5prevents metastatic disease in mouse models of this cancer.","Juhyung Park, Jibo Wu, Pawel K. Mazur",24-Jul-24
Nature Podcast,Rapid sepsis test identifies bacteria that spark life-threatening infection,New method can help guide treatment with most effective antibiotic — plus how things get weird when an AI is trained on AI-created text.,"Nick Petrić Howe, Emily Bates",24-Jul-24
News,How do placebos ease pain? Mouse brain study offers clues,The discovery of a brain circuit involved in the pain-relieving effect of placebos could lead to improved treatments.,Miryam Naddaf,24-Jul-24
Research Briefing,Motor neurons move a fly’s head in different directions depending on its starting posture,Motor neurons control the muscles and are therefore the only means through which the brain can move the body and interact with the world. The finding that motor neurons move a fly’s body differently depending on the current pose provides clues to the process that the brain uses to control the body.,"N, /, A",24-Jul-24
News & Views,Carbon pricing reduces emissions,A meta-analysis of 21 carbon-pricing schemes suggests that the strategy reduces greenhouse-gas emissions. Deciding how high to set prices is the next step — and one that might benefit from the insights of less-aggregated studies in various sectors.,Thomas Sterner,24-Jul-24
News,AI models fed AI-generated data quickly spew nonsense,Researchers gave successive versions of a large language model information produced by previous generations of the AI — and observed rapid collapse.,Elizabeth Gibney,24-Jul-24
News,Exclusive: the Trump administration demoted this climate scientist — now she wants reform,"Virginia Burkett has filed a whistle-blower complaint, asking for an investigation and better policies to protect scientists against political interference.",Jeff Tollefson,24-Jul-24
Nature Briefing,Daily briefing: Hybrid AI supercharges climate models,"Google AI predicts long-term climate trends and weather — in minutes. Plus, heaviest element yet within reach after major breakthrough and how to bring null results out of hiding.",Flora Graham,24-Jul-24
Research Briefing,"The ape Y chromosome evolves extremely rapidly, but the X chromosome is conserved","The ape sex chromosomes have now been fully sequenced. Rapid evolution has led to extreme differences in the Y chromosome between species, whereas the X chromosome experienced much less dynamic changes. The palindromic structure of the Y chromosome has preserved genes relevant to fertility, hidden in the repetitive DNA.","N, /, A",24-Jul-24
Futures,Every part of you,How to be happy?,Helena O’Connor,24-Jul-24
News & Views,Forests don’t just absorb CO2— they also take up methane,"Field studies reveal that the woody surfaces of upland trees are a substantial global sink for methane, a potent greenhouse gas. The findings help to fill a hole in the global methane budget and should improve the accuracy of climate models.",Patrik Vestin,24-Jul-24
News Feature,So you got a null result. Will anyone publish it?,Researchers have tried a bunch of strategies to get more negative results into the literature.Natureasks whether they are working.,Max Kozlov,24-Jul-24
News & Views,How does the spliceosome dismantle itself?,Precursor messenger RNA is edited into its final form by an RNA–protein assembly called the spliceosome. Structural evidence provides insights into how the spliceosome is disassembled when its job is complete.,"Shasha Shi, Rui Zhao",24-Jul-24
News & Views,AI produces gibberish when trained on too much AI-generated data,"Generative AI models are now widely accessible, enabling everyone to create their own machine-made something. But these models can collapse if their training data sets contain too much AI-generated content.",Emily Wenger,24-Jul-24
News & Views,Cancer spread in the liver is unlocked from within,How spreading tumour cells gain the ability to grow in organs away from where they originated is not fully understood. The discovery that normal liver cells help invading tumour cells to thrive in this organ sheds light on this process.,"Katharina Woess, Direna Alonso-Curbelo",24-Jul-24
Editorial,Science must protect thinking time in a world of instant communication,"E-mails and instant messaging are core to research — but also a distraction. Researchers should study their impact on science, and how they can claw back time to concentrate.","N, /, A",24-Jul-24
News,This glowing speck is a freezing exoplanet six times the size of Jupiter,One of the closest planets outside our Solar System is the most frigid ever to be directly imaged.,Davide Castelvecchi,24-Jul-24
Career Column,Why you should perform a premortem on your research,"Carsten Lund Pedersen introduces a tool for improving the success rate of your papers, projects and partnerships.",Carsten Lund Pedersen,24-Jul-24
Publisher Correction,Publisher Correction:Legionellaeffector LnaB is a phosphoryl-AMPylase that impairs phosphosignalling,N/A,"Ting Wang, Xiaonan Song, Yongqun Zhu",23-Jul-24
Publisher Correction,Publisher Correction:Legionellaeffector LnaB is a phosphoryl-AMPylase that impairs phosphosignalling,N/A,"Ting Wang, Xiaonan Song, Yongqun Zhu",23-Jul-24
News & Views,Discovery of oxygen commemorated at Joseph Priestley’s grave,"Centennial celebrations mark the discovery of oxygen, and a physicist shares ideas about why the pyramids were built, in our weekly dip intoNature’s archive.","N, /, A",23-Jul-24
Correspondence,Hungarian researchers struggle amid EU funding ban,N/A,"Júlia Koltai, Gábor Kecskés, Balázs Lengyel",23-Jul-24
Correspondence,Cement at 200: towards net-zero fully recycled concrete,N/A,"Jianzhuang Xiao, Shuai Zou",23-Jul-24
Correspondence,Monitor soil health using advanced technologies,N/A,Asim Biswas,23-Jul-24
News,Google AI predicts long-term climate trends and weather — in minutes,Models that are more reliable and less energy-intensive could help us to better prepare for extreme weather.,Helena Kudiabor,23-Jul-24
Nature Index,Hijacked journals are still a threat — here’s what publishers can do about them,"A long-standing problem that affects publishers and authors alike, journal hijacking can damage reputations and steal article-processing fees.",Jackson  Ryan,23-Jul-24
World View,Boost French research by increasing freedom for scientists and universities,The new French government should support education and research by improving budgets.,Christine Musselin,23-Jul-24
Career Column,A stroke derailed my academic career. Now I’m getting back on track,"A brain haemorrhage late in pregnancy upended Parisa Hosseinzadeh’s life — and her tenure clock. Thanks to supportive physicians, family and colleagues, she’s restarting her academic career.",Parisa Hosseinzadeh,23-Jul-24
Comment,Why US–China relations are too important to be left to politicians,"In an age of geopolitical tensions, researchers need to be realistic and think beyond fundamental science to chart a safe path for collaboration.",Yasheng Huang,23-Jul-24
News,Heaviest element yet within reach after major breakthrough,Success with a new route to producing superheavy elements paves the way to making the elusive element 120.,Katherine Bourzac,23-Jul-24
Nature Briefing,Daily briefing: Where US presidential contender Kamala Harris stands on science,"The US vice-president has stood up for maternal health issues and for improving the diversity of the scientific workforce. Plus, a mysterious source of ‘dark oxygen’ discovered on the sea floor.",Flora Graham,23-Jul-24
Research Briefing,Inflammation averted by adhesive coating on implants,"Coating implants with an adhesive layer that bonds them to target tissue can prevent the formation of observable fibrous capsules on various organs and tissues, including the abdominal wall, colon, stomach, lung and heart, in diverse animal models, such as rats, mice and pigs.","N, /, A",23-Jul-24
Nature Briefing,AI & robotics briefing: Digital primordial soup creates ‘computational life’,"Self-replicating programs can emerge from a random soup of tens of thousands of pieces of computer code. Plus, how astronomers unmask deepfakes and did AlphaFold really solve protein folding?",Katrina Krämer,23-Jul-24
